,videoid,channelname,gender,title,views,count_pos,count_neg,count_neu,likes,tot_comments,dislikes
46,qargQ-VkyL8,Vir Das COMEDY,0,JOKES FOR WOKE AND OFFENDED PEOPLE | Vir Das | Stand-Up,4782309,495,275,230,179000,6486,10000
47,tkPm635vnWE,Vir Das COMEDY,0,I mean it WAS good advice  |  Abroad Understanding,1831349,363,385,252,65000,1900,6100
48,sIl8vsWrD8o,Zakir Khan,0,When I met a Delhi Girl | Zakir Khan | Stand Up Comedy | AIB Diwas,71948412,406,329,265,1900000,24168,40000
49,in4RXMJlEVk,Zakir Khan,0,Zakir Khan - What happens when you fail in an exam! AIB Diwas,49066107,346,435,219,1200000,9173,25000
50,7V6FGF1ffgQ,Zakir Khan,0,Life Mein Chahiye Izzat | Zakir khan | Stand Up Comedy,34753414,539,219,242,728000,5789,13000
51,vLoy96ONjcw,Zakir Khan,0,Bag jama sakte hain?? - Zakir Khan - Kaksha Gyarvi,28813881,421,307,272,954000,12030,21000
52,5eGUIZbXXhQ,Samay Raina,0,SAMAY RAINA NAHI PIGHLEGA - Miniclip #14,4625352,283,447,270,207000,2300,2600
53,QLj2hZQKYvE,Samay Raina,0,"PUBG ft.YUZVENDRA CHAHAL, RAFTAAR, TANMAY BOT",4227418,353,404,243,146000,1442,3300
54,nG8af3PbEaQ,Samay Raina,0,"DEFEATING @CarryMinati, @Tanmay Bhat  ft. @BB Ki Vines  HIGHLIGHTS",3563390,285,505,210,204000,2397,2900
55,FhCbx2TmFUE,Samay Raina,0,NARAK | Stand-up Comedy by Samay Raina,2959691,341,344,315,265000,10570,10000
56,cq0U17Yfx_Q,Vipul Goyal,0,Vipul Goyal on Modiji and Taxes,7729433,436,352,212,174000,4172,7500
57,d7vyqem4RwU,Vipul Goyal,0,Indian Bikers | Stand Up Comedy by Vipul Goyal,6979480,686,54,260,272000,5489,8500
58,CQhrLUYoJJY,Vipul Goyal,0,BAHU ki SLEEVELESS & INDIANS on INTERNET | Stand up Comedy by Vipul Goyal,6076293,790,90,120,233000,6123,8200
59,iiOT3LS_6O4,Vipul Goyal,0,ADULTS vs BABIES | Stand Up Comedy by VIPUL GOYAL,5832014,399,455,146,236000,3157,5600
60,3wG7K3jV1To,Rahul Dua,0,Trump | Stand Up Comedy by Rahul Dua,12530683,833,73,94,404000,6773,14000
61,qfxSNL5lskQ,Rahul Dua,0,Jeans | Stand Up Comedy by Rahul Dua,12267783,600,104,296,473000,4786,9000
62,rsQrVwNUnPc,Rahul Dua,0,Telemarketing Prank Story |  Rahul Dua | Stand Up Comedy,7663101,444,284,272,273000,4579,8900
63,VJjqPUt_Bnk,Rahul Dua,0,Why TRAINS are better than AIRPLANES | Rahul Dua StandUp Comedy - Part 1 (with subtitles),6987303,600,100,300,352000,4745,5200
64,zsdYLTQ74W4,Gaurav Kapoor,0,Gaurav Kapoor | No Ball | Stand Up Comedy 2019,9811672,635,69,296,392000,6664,9600
65,8nBQyiqw4Qc,Gaurav Kapoor,0,Desh Ka Future in Chappal | #shorts | Stand Up Comedy,9697227,225,504,271,383000,1300,11000
66,lVaZeuc_aEE,Gaurav Kapoor,0,"Rich People, Lifebuoy and Nano | Stand Up Comedy by Gaurav Kapoor",8006497,479,387,134,219000,3012,6900
67,ZEYD-t_ImzE,Gaurav Kapoor,0,Justin Bieber in Delhi | #shorts,7962041,373,438,189,651000,4100,9400
68,KBZfnt80s54,Aakash Gupta,0,Sarojini Nagar | Excuse Me Brother | Stand-Up Comedy by Aakash Gupta,28783886,562,93,345,1400000,23318,30000
69,8bPWXYM2ysU,Aakash Gupta,0,Childhood Dreams | Aakash Gupta | Stand-up Comedy | Crowd Work,28491039,586,148,266,1300000,12257,20000
70,Xc5n49aEhwc,Aakash Gupta,0,Delhi Metro | Stand-Up Comedy by Aakash Gupta,27267280,557,149,294,994000,8221,16000
71,PTIaBLtp4R8,Aakash Gupta,0,Dogs | Stand-Up Comedy by Aakash Gupta,26905593,499,175,326,1300000,18138,20000
72,1EpOFzNo0MY,Aishwarya Mohanraj,1,My First Relationship | Stand-Up Comedy by Aishwarya Mohanraj,14407091,525,293,182,490000,6796,20000
73,kdFZJV6Y-IY,Aishwarya Mohanraj,1,My Pregnancy Test | Stand-Up Comedy by Aishwarya Mohanraj,12633849,427,510,63,477000,7813,25000
74,VrkXYQRhBeU,Aishwarya Mohanraj,1,HE PROPOSED!!! | VLOG 07,4426572,835,44,121,315000,10056,2800
75,wMQtAQfZPE8,Aishwarya Mohanraj,1,SURPRISING MY BOYFRIEND | VLOG 01 ft. @Tanmay Bhat,1957101,199,516,285,127000,2388,4000
76,EzJhTb564iA,Urooj Ashfaq,1,Uber Driver & Grandmother | Stand Up Comedy by Urooj Ashfaq,12930948,426,429,145,440000,14863,51000
77,VSzD81nG3sg,Urooj Ashfaq,1,Casual Relationships | Stand Up Comedy by Urooj Ashfaq,6510964,234,596,170,260000,5281,18000
78,ma8YnPq01sQ,Urooj Ashfaq,1,#shorts,1600070,46,362,36,64000,444,6900
79,GlXGkCSZ1D8,Urooj Ashfaq,1,not stand up,1298171,98,816,86,75000,1009,2100
